,ward,town_code,town_name,total_pop,pop_young,pop_working,pop_old,pc_young,pc_working,pc_old,gender_ratio,ageing_index,dependency_ratio,lat,lon
471,wakabayashi,41030077000,今泉,659,93,331,235,14.112291350531109,50.22761760242792,35.66009104704097,95.54896142433235,252.68817204301075,263.0966767371601,38.204253,140.931453
472,wakabayashi,41030058001,今泉一丁目,1747,236,1051,460,13.508872352604465,60.16027475672582,26.33085289066972,99.2018244013683,194.91525423728814,482.4548049476689,38.21433,140.928821
473,wakabayashi,41030058002,今泉二丁目,1635,230,992,413,14.067278287461773,60.67278287461774,25.259938837920487,94.18052256532067,179.56521739130434,436.18548387096774,38.211104999999996,140.927583
474,wakabayashi,41030010000,裏柴田町,295,27,186,82,9.152542372881356,63.05084745762712,27.796610169491526,109.21985815602837,303.7037037037037,96.51612903225806,38.249623,140.894993
475,wakabayashi,41030074000,沖野,30,3,15,12,10.0,50.0,40.0,87.5,400.0,32.0,38.224684,140.926656
476,wakabayashi,41030021001,沖野一丁目,1362,155,785,422,11.380323054331864,57.635829662261386,30.983847283406757,91.83098591549296,272.258064516129,441.7452229299363,38.23277,140.912068
477,wakabayashi,41030021002,沖野二丁目,2193,271,1389,533,12.35750113999088,63.33789329685362,24.304605563155494,93.7279151943463,196.6789667896679,552.5104391648669,38.230616999999995,140.912183
478,wakabayashi,41030021003,沖野三丁目,2288,325,1373,590,14.204545454545455,60.00874125874126,25.786713286713287,93.73412362404741,181.53846153846155,613.6707938820102,38.226559,140.91217
479,wakabayashi,41030021004,沖野四丁目,289,21,161,107,7.26643598615917,55.70934256055363,37.0242214532872,102.09790209790211,509.5238095238095,120.04347826086956,38.223316,140.908908
480,wakabayashi,41030021005,沖野五丁目,485,42,302,141,8.65979381443299,62.2680412371134,29.07216494845361,90.94488188976378,335.7142857142857,154.90728476821192,38.223283,140.911581
481,wakabayashi,41030021006,沖野六丁目,2800,396,1537,867,14.142857142857142,54.892857142857146,30.964285714285715,93.90581717451524,218.93939393939394,892.7644762524399,38.223579,140.917629
482,wakabayashi,41030021007,沖野七丁目,2188,353,1282,553,16.13345521023766,58.59232175502742,25.274223034734916,96.58580413297393,156.657223796034,580.5351014040561,38.227477,140.91958200000002
483,wakabayashi,41030017000,表柴田町,605,60,404,141,9.917355371900827,66.77685950413223,23.305785123966942,85.58282208588957,235.0,155.85148514851485,38.248403,140.894913
484,wakabayashi,41030049001,卸町一丁目,8,2,3,3,25.0,37.5,37.5,100.0,150.0,69.66666666666666,38.254185,140.919372
485,wakabayashi,41030049002,卸町二丁目,140,20,107,13,14.285714285714285,76.42857142857142,9.285714285714286,115.38461538461537,65.0,31.69158878504673,38.254058,140.923774
486,wakabayashi,41030049003,卸町三丁目,187,27,101,59,14.43850267379679,54.01069518716578,31.550802139037433,92.78350515463917,218.5185185185185,85.73267326732673,38.259046000000005,140.92359299999998
487,wakabayashi,41030049005,卸町五丁目,2,0,0,2,0.0,0.0,100.0,,,,38.254058,140.929605
488,wakabayashi,41030056003,卸町東三丁目,1,0,1,0,0.0,100.0,0.0,,,,38.255439,140.94262700000002
489,wakabayashi,41030056004,卸町東四丁目,11,0,11,0,0.0,100.0,0.0,0.0,,,38.255499,140.949502
490,wakabayashi,41030056005,卸町東五丁目,5,1,4,0,20.0,80.0,0.0,150.0,0.0,25.0,38.253589,140.955475
491,wakabayashi,41030063000,かすみ町,1740,219,1071,450,12.586206896551724,61.55172413793103,25.862068965517242,99.54128440366972,205.47945205479454,470.4481792717087,38.241257,140.922104
492,wakabayashi,41030073000,霞目,3,0,2,1,0.0,66.66666666666666,33.33333333333333,50.0,,,38.232366,140.934602
493,wakabayashi,41030060001,霞目一丁目,270,49,221,0,18.14814814814815,81.85185185185185,0.0,210.3448275862069,0.0,22.171945701357465,38.234756,140.92006999999998
494,wakabayashi,41030060002,霞目二丁目,1986,249,1162,575,12.537764350453173,58.50956696878147,28.95266868076536,102.24032586558044,230.92369477911646,596.4285714285714,38.234691,140.928316
495,wakabayashi,41030072000,蒲町,1857,276,1150,431,14.862681744749596,61.92784060312332,23.209477652127084,93.03534303534303,156.15942028985506,455.0,38.244871,140.927374
496,wakabayashi,41030090000,蒲町東,1441,174,1110,157,12.074947952810549,77.02984038861902,10.895211658570437,100.13888888888889,90.22988505747126,172.67567567567568,38.245498,140.932557
497,wakabayashi,41030042000,上飯田,91,21,55,15,23.076923076923077,60.43956043956044,16.483516483516482,89.58333333333334,71.42857142857143,53.18181818181819,38.219296,140.92276999999999
498,wakabayashi,41030054001,上飯田一丁目,1843,252,1107,484,13.67335865436788,60.06511123168746,26.26153011394465,101.2008733624454,192.06349206349208,506.7642276422764,38.220981,140.91632099999998
499,wakabayashi,41030054002,上飯田二丁目,2778,413,1548,817,14.866810655147589,55.72354211663067,29.40964722822174,95.08426966292134,197.82082324455206,843.6795865633075,38.217715000000005,140.91626200000002
500,wakabayashi,41030054003,上飯田三丁目,2587,378,1540,669,14.6115191341322,59.52841128720525,25.860069578662543,93.78277153558052,176.984126984127,693.5454545454545,38.214847,140.922636
501,wakabayashi,41030054004,上飯田四丁目,1387,193,737,457,13.91492429704398,53.13626532083634,32.94881038211968,99.2816091954023,236.78756476683938,483.18724559023065,38.216937,140.927423
502,wakabayashi,41030044001,河原町一丁目,1893,201,1304,388,10.618066561014263,68.88536714210248,20.496566296883252,83.43023255813954,193.03482587064678,403.4141104294479,38.238786,140.889368
503,wakabayashi,41030044002,河原町二丁目,1517,127,1048,342,8.371786420566908,69.08371786420567,22.544495715227423,90.3387703889586,269.29133858267716,354.118320610687,38.237432,140.892425
504,wakabayashi,41030019001,木ノ下一丁目,1136,105,726,305,9.242957746478874,63.90845070422535,26.848591549295776,89.33333333333333,290.4761904761905,319.46280991735534,38.251694,140.898031
505,wakabayashi,41030019002,木ノ下二丁目,689,70,455,164,10.159651669085632,66.0377358490566,23.802612481857764,98.55907780979827,234.2857142857143,179.3846153846154,38.251647999999996,140.90108500000002
506,wakabayashi,41030019003,木ノ下三丁目,200,22,149,29,11.0,74.5,14.499999999999998,78.57142857142857,131.8181818181818,43.76510067114094,38.251591,140.904214
507,wakabayashi,41030019004,木ノ下四丁目,778,105,499,174,13.496143958868895,64.1388174807198,22.36503856041131,90.2200488997555,165.71428571428572,195.04208416833666,38.249132,140.899778
508,wakabayashi,41030019005,木ノ下五丁目,475,45,322,108,9.473684210526317,67.78947368421052,22.736842105263158,99.57983193277312,240.0,121.9751552795031,38.248464,140.904156
509,wakabayashi,41030006000,穀町,259,7,194,58,2.7027027027027026,74.9034749034749,22.393822393822393,121.36752136752136,828.5714285714287,61.608247422680414,38.245218,140.889143
510,wakabayashi,41030013000,椌木通,397,48,264,85,12.090680100755668,66.49874055415617,21.41057934508816,99.49748743718592,177.08333333333331,103.18181818181819,38.248072,140.89818799999998
511,wakabayashi,41030027000,五十人町,813,64,549,200,7.872078720787208,67.52767527675276,24.600246002460025,100.24630541871922,312.5,211.6575591985428,38.245585,140.894165
512,wakabayashi,41030028000,三百人町,951,82,680,189,8.622502628811777,71.5036803364879,19.873817034700316,89.06560636182903,230.48780487804876,201.05882352941177,38.246561,140.894423
513,wakabayashi,41030080000,三本塚,269,28,146,95,10.408921933085502,54.27509293680297,35.31598513011153,105.34351145038168,339.2857142857143,114.17808219178082,38.212401,140.96155100000001
514,wakabayashi,41030012000,清水小路,384,25,340,19,6.510416666666667,88.54166666666666,4.947916666666666,120.6896551724138,76.0,26.352941176470587,38.251284999999996,140.881828
